model,event,aoi,region,aoi_name,threshold,tp,fp,fn,tn,precision,recall,f1,iou
r20,147,03,unknown,unknown,0.3,313916,15524216,5633,31120971,0.019820266682964886,0.9823720305805995,0.03885656611242665,0.01981321990069911
r20,147,03,unknown,unknown,0.4,310490,13624052,9059,33021135,0.022282038404993862,0.9716506701632613,0.04356503687257223,0.022267562016440375
r20,147,03,unknown,unknown,0.5,305189,12095713,14360,34549474,0.024610225933565155,0.9550616650341576,0.047983990504739185,0.024581760739322295
r20,147,03,unknown,unknown,0.55,301599,11392409,17950,35252778,0.025790900775850334,0.9438270812926969,0.05020977550612196,0.025751373083817412
r20,147,03,unknown,unknown,0.6,297207,10712739,22342,35932448,0.026994410326808143,0.930082710319857,0.05246606313873654,0.026939742689821005
r20,147,03,unknown,unknown,0.65,291680,10044267,27869,36600920,0.02821995894522292,0.9127864584148284,0.05474733414568407,0.028144073572900174
r20,147,03,unknown,unknown,0.7,284731,9370635,34818,37274552,0.02948940516599785,0.8910401847603967,0.05708940878192947,0.029383446176047844
r20,147,03,unknown,unknown,0.75,275521,8681803,44028,37963384,0.03075929820111453,0.8622183139362039,0.059399541203161876,0.030608846315531266
r20,147,03,unknown,unknown,0.78,268665,8252572,50884,38392615,0.031528873096711194,0.8407630754594757,0.06077853258748713,0.031341718111538554
r20,147,03,unknown,unknown,0.8,263302,7954430,56247,38690757,0.03204071390987197,0.8239800468785695,0.061682870693842685,0.031822899236268305
r20,147,03,unknown,unknown,0.82,256930,7639722,62619,39005465,0.03253657372770131,0.8040394430901051,0.06254228687930102,0.032280594541887066
r20,147,03,unknown,unknown,0.83,253219,7476748,66330,39168439,0.03275809586250498,0.7924262006765785,0.06291533553073253,0.032479393742952584
r20,147,03,unknown,unknown,0.85,244997,7135127,74552,39510060,0.033196867694905936,0.7666961874391721,0.06363828697660276,0.03286487568339657
r20,147,03,unknown,unknown,0.88,229997,6567587,89552,40077600,0.033835109650722964,0.7197550297450469,0.06463192411888326,0.03339515874232773
r20,147,03,unknown,unknown,0.9,217775,6131196,101774,40513991,0.0343008339461623,0.6815073744558737,0.06531434261275364,0.03375966651913849
r20,147,03,unknown,unknown,0.92,202270,5628516,117279,41016671,0.03469000577280661,0.632985864452713,0.06577527890757169,0.03400601708286644
r20,147,03,unknown,unknown,0.95,168940,4588093,150609,42057094,0.03551373303485597,0.5286826120563669,0.0665565926050244,0.03442386384336918
