signal_level,memory_level,n_grids,valid_pixels,flood_pixels,r19_pooled_precision,r20_pooled_precision,r20_minus_r19_pooled_precision,r19_pooled_recall,r20_pooled_recall,r20_minus_r19_pooled_recall,r19_pooled_f1,r20_pooled_f1,r20_minus_r19_pooled_f1,r19_pooled_iou,r20_pooled_iou,r20_minus_r19_pooled_iou,r19_fp_per_flood_pixel,r20_fp_per_flood_pixel,r20_minus_r19_fp_per_flood_pixel,r19_fp_rate_valid,r20_fp_rate_valid,r20_minus_r19_fp_rate_valid,r19_predicted_positive_rate,r20_predicted_positive_rate,r20_minus_r19_predicted_positive_rate,r19_median_grid_f1,r20_median_grid_f1,r20_minus_r19_median_grid_f1,f1_winner,precision_winner,recall_winner,low_fp_rate_winner
moderate_signal,high_memory,18,896817,123266,0.2386574170810871,0.3720884880248644,0.1334310709437773,0.2779760842405854,0.742978599127091,0.46500251488650557,0.25682056663168934,0.4958513918478835,0.23903082521619418,0.1473288186606471,0.3296558525936138,0.1823270339329667,0.8867733194879367,1.2538007236383106,0.36702740415037394,0.12188551287497895,0.17233281706301284,0.05044730418803389,0.16009286175440474,0.27445398559572354,0.1143611238413188,0.18399038174297325,0.49557956747570775,0.31158918573273453,r20,r20,r20,r19
moderate_signal,moderate_memory,13,643057,85007,0.7196140722437934,0.7285417867435159,0.008927714499722517,0.14389403225616715,0.7434799487101063,0.5995859164539391,0.23983138081466596,0.7359350710596947,0.49610369024502876,0.1362547759348579,0.582197206971517,0.4459424310366591,0.05606597103767925,0.2770242450621713,0.22095827402449209,0.007411473632974993,0.03662039290451702,0.029208919271542025,0.02643311557140347,0.13490250475463295,0.10846938918322947,0.0977011494252873,0.7371940206740191,0.6394928712487318,r20,r20,r20,r19
moderate_signal,no_or_trace_memory,35,1715633,204723,0.8405730010544454,0.7788598047914818,-0.06171319626296368,0.1596498683587091,0.6860196460583324,0.5263697776996233,0.26833493427912286,0.7294977444077675,0.46116281012864463,0.15495775689591412,0.574180597631225,0.41922284073531085,0.03027993923496627,0.19478026406412569,0.1645003248291594,0.0036132436249477597,0.0232427331486396,0.01962948952369184,0.022663938033367276,0.10510406363132442,0.08244012559795715,0.0173418621179815,0.6622327790973872,0.6448909169794057,r20,r19,r20,r19
no_or_trace_signal,high_memory,3,150528,1,0.0,1.2834169693391686e-05,1.2834169693391686e-05,0.0,1.0,1.0,0.0,2.566800995918786e-05,2.566800995918786e-05,0.0,1.2834169693391686e-05,1.2834169693391686e-05,69837.0,77916.0,8079.0,0.4639469068877551,0.5176179846938775,0.05367107780612246,0.4639469068877551,0.5176246279761905,0.05367772108843538,0.0,0.0,0.0,r20,r20,r20,r19
no_or_trace_signal,moderate_memory,7,325803,1,0.0,0.00016196954972465177,0.00016196954972465177,0.0,1.0,1.0,0.0,0.00032388663967611336,0.00032388663967611336,0.0,0.00016196954972465177,0.00016196954972465177,952.0,6173.0,5221.0,0.002922011153979552,0.018947032409155226,0.016025021255175673,0.002922011153979552,0.018950101748602684,0.01602809059462313,0.0,0.0,0.0,r20,r20,r20,r19
no_or_trace_signal,no_or_trace_memory,124,5978042,226,0.0,0.0003446200692326288,0.0003446200692326288,0.0,0.5929203539823009,0.5929203539823009,0.0,0.0006888397676450933,0.0006888397676450933,0.0,0.00034453854974982387,0.00034453854974982387,96.88938053097345,1719.9115044247787,1623.0221238938052,0.003662905011373289,0.06502128957943086,0.06135838456805757,0.003662905011373289,0.06504370494553233,0.061380799934159035,0.0,0.0,0.0,r20,r20,r20,r19
strong_signal,high_memory,10,476179,226311,0.5688698284561049,0.6527562805095845,0.08388645205347955,0.4184949030316688,0.9690205071781751,0.5505256041465063,0.4822313702427959,0.7800509007222496,0.2978195304794537,0.31772390125096867,0.6394126617119231,0.32168876046095446,0.3171653167543778,0.5154853277127492,0.19832001095837143,0.1507374327721298,0.24499190430489376,0.09425447153276395,0.3496332261607505,0.7055330033453806,0.3558997771846301,0.39317032440489086,0.778169997105165,0.38499967270027413,r20,r20,r20,r19
strong_signal,moderate_memory,6,301056,119546,0.9754958369999324,0.8985752478933298,-0.0769205891066026,0.48219095578271126,0.8884278855001422,0.4062369297174309,0.6453722052418859,0.8934727561810704,0.24810055093918448,0.476420318362894,0.807456627183846,0.33103630882095203,0.01211249226239272,0.10027939036019608,0.08816689809780336,0.004809736394557823,0.03981983418367347,0.035010097789115645,0.19628241921768708,0.3926046981292517,0.19632227891156462,0.6229694241230538,0.8952660031866613,0.2722965790636075,r20,r19,r20,r19
strong_signal,no_or_trace_memory,27,1324478,877613,0.9943208573746589,0.9360053779470163,-0.05831547942764259,0.39939700072811135,0.9408133197662295,0.5414163190381182,0.5698840204823714,0.9384031904821978,0.36851916999982637,0.3984879748526344,0.8839544185409137,0.48546644368827935,0.002281187721695098,0.06432334069800698,0.06204215297631188,0.0015115388855081022,0.04262131949341552,0.04110978060790742,0.26615617624452803,0.6660140825291171,0.39985790628458906,0.3454892110280543,0.9207084510739488,0.5752192400458945,r20,r19,r20,r19
weak_signal,high_memory,13,568094,5747,0.0043058717841488155,0.02593282035436246,0.021626948570213644,0.04837306420741256,0.5987471724377936,0.550374108230381,0.007907836723083485,0.0497125025282441,0.04180466580516062,0.00396961389079278,0.025489832956776176,0.021520219065983396,11.185836088393945,22.48964677222899,11.303810683835046,0.11315908986893014,0.2275116441997275,0.11435255433079736,0.11364844550373705,0.23356874038451383,0.11992029488077678,0.0,0.0284398976982097,0.0284398976982097,r20,r20,r20,r19
