support,n_event_aoi,pooled_f1_unet,pooled_f1_aspp,pooled_contrast_aspp_minus_unet,pooled_winner,event_median_f1_unet,event_median_f1_aspp,event_median_winner,aspp_event_wins,wilcoxon_p_two_sided,larkana_flood_share,exclude_larkana_contrast,exclude_larkana_flips_pooled
14_unit_verified,14,0.5815,0.4572,-0.1243,U-Net,0.4383,0.601,ASPP,12,0.0494,0.5878,0.1629,yes
17_unit_plus_event147,17,0.5795,0.4497,-0.1298,U-Net,0.2585,0.478,ASPP,14,0.0202,0.5858,0.134,yes
