mechanism_regime,n_grids,valid_pixels,flood_pixels,global_pooled_f1_winner,regime_f1_winner,f1_decision_switch_from_global,f1_loss_if_using_global_winner,global_low_fp_rate_winner,regime_low_fp_rate_winner,fp_decision_switch_from_global,fp_rate_penalty_if_using_global_low_fp_winner,r19_pooled_f1,r20_pooled_f1,r20_minus_r19_pooled_f1,r19_fp_rate_valid,r20_fp_rate_valid,r20_minus_r19_fp_rate_valid
low_signal_low_memory,3907,192734515,1395659,r20,r20,False,0.0,r19,r19,False,0.0,0.009166473722213658,0.23308746602167377,0.2239209922994601,0.001034365847756952,0.021022638316754008,0.019988272468997058
memory_dominated_low_signal,337,15220921,254102,r20,r20,False,0.0,r19,r19,False,0.0,0.016448231676190694,0.06499688964323531,0.04854865796704462,0.11465134074344122,0.25572053097181174,0.14106919022837053
mixed_transition,1128,55740073,5935757,r20,r20,False,0.0,r19,r19,False,0.0,0.19742330174232442,0.654577399481288,0.4571540977389636,0.02297271838879723,0.06288701846515343,0.0399143000763562
signal_plus_memory,139,6524499,2925154,r20,r20,False,0.0,r19,r19,False,0.0,0.4442047909359809,0.7427606573405675,0.2985558664045866,0.1202512254197602,0.2777123576844751,0.15746113226471492
signal_rich_low_memory,1592,79621092,18653445,r20,r20,False,0.0,r19,r19,False,0.0,0.2900744373228695,0.8446558659558698,0.5545814286330003,0.0007628255085976465,0.033779077031498135,0.03301625152290049
