model,event,aoi,region,aoi_name,threshold,tp,fp,fn,tn,precision,recall,f1,iou
r19,1111003,01,Djibouti,Djibouti,0.75,1611,96054,5350,712475,0.0164951620334818,0.23143226547909784,0.030795404583946633,0.015638499247682375
r19,1111003,01,Djibouti,Djibouti,0.8,1285,83392,5676,725137,0.015175313249170376,0.1845999138054877,0.028045134114668586,0.014221995949221387
r19,1111003,01,Djibouti,Djibouti,0.85,1008,70430,5953,738099,0.014110137461855035,0.14480678063496624,0.02571461370680748,0.01302477032213048
r19,1111003,01,Djibouti,Djibouti,0.9,688,55912,6273,752617,0.01215547703180212,0.0988363740841833,0.021648495146394803,0.010942694002194902
r19,1111003,01,Djibouti,Djibouti,0.95,278,37962,6683,770567,0.007269874476987448,0.03993679069099267,0.012300612818300482,0.006188366760901988
r19,1111004,01,USA,Houston,0.05,15624503,30155394,520843,200352826,0.34129615887951864,0.9677403630742878,0.504624681085224,0.33745687433937344
r19,1111004,01,USA,Houston,0.1,11240400,14626875,4904946,215881345,0.43454132683090896,0.6962006264839415,0.5350963464050481,0.36527750141921833
r19,1111004,01,USA,Houston,0.15,8895495,8966765,7249851,221541455,0.49800501168385186,0.5509634169499991,0.523147380618324,0.35423127111854513
r19,1111004,01,USA,Houston,0.2,7337879,6578574,8807467,223929646,0.5272808380123872,0.4544888043898223,0.4881862858573434,0.32291431231935336
r19,1111004,01,USA,Houston,0.25,6140376,5320233,10004970,225187987,0.5357809519546475,0.38031863795300513,0.4448587994872845,0.2860568540918463
r19,1111004,01,USA,Houston,0.3,5119196,4446672,11026150,226061548,0.5351522726426917,0.3170694514691726,0.3982072569579951,0.24860098704264924
r19,1111004,01,USA,Houston,0.35,4223308,3743810,11922038,226764410,0.5300923119250901,0.26158051986002656,0.3503008236735989,0.21234224318015305
r19,1111004,01,USA,Houston,0.4,3438812,3153794,12706534,227354426,0.52161648974624,0.2129909139141397,0.3024733274131285,0.17818472740236094
r19,1111004,01,USA,Houston,0.45,2774639,2660405,13370707,227847815,0.5105090225580511,0.17185379613419247,0.257144472365884,0.14754204711101407
r19,1111004,01,USA,Houston,0.5,2225837,2248975,13919509,228259245,0.4974146399893448,0.1378624527464447,0.21588942237978972,0.12100674985502319
r19,1111004,01,USA,Houston,0.55,1787416,1951703,14357930,228556517,0.47803132235160206,0.11070781635772935,0.17978014495235353,0.09876836825716723
r19,1111004,01,USA,Houston,0.6,1447277,1714141,14698069,228794079,0.45779362298816545,0.08964050692998465,0.14992434775708657,0.08103687412745954
r19,1111004,01,USA,Houston,0.65,1191813,1513804,14953533,228994416,0.44049582775389123,0.07381774289631204,0.12644584788586133,0.06748982821936503
r19,1111004,01,USA,Houston,0.7,998321,1331701,15147025,229176519,0.428459902953706,0.06183336052383145,0.10807048606555496,0.057121835284873926
r19,1111004,01,USA,Houston,0.75,838829,1151449,15306517,229356771,0.4214632327745169,0.0519548481649139,0.09250621869972601,0.04849620984696876
r19,1111004,01,USA,Houston,0.8,691211,961838,15454135,229546382,0.41814307984820775,0.04281177993955657,0.07767116079848772,0.04040472119783128
r19,1111004,01,USA,Houston,0.85,537908,756068,15607438,229752152,0.41570168225685794,0.03331659786046084,0.06168909548203766,0.03182621288372677
r19,1111004,01,USA,Houston,0.9,362657,538116,15782689,229970104,0.40260642803458807,0.022462014750256824,0.04255009600719085,0.02173751467171502
r19,1111004,01,USA,Houston,0.95,130177,322303,16015169,230185917,0.2876966937765205,0.008062818845752825,0.015686030206606572,0.00790501424945358
