model,architecture,event,aoi,region,aoi_name,n_grids,valid_pixels,flood_pixels,selected_threshold,selected_tp,selected_fp,selected_fn,selected_tn,selected_precision,selected_recall,selected_f1,selected_iou,best_kuro_threshold,best_kuro_precision,best_kuro_recall,best_kuro_f1,best_kuro_iou
r19,tiny_unet,147,01,unknown,unknown,454,22523399,245271,0.85,11706,39770,233565,22238358,0.22740694692672314,0.04772680015166897,0.07889549009762525,0.04106777621464982,0.3,0.3089170966414485,0.39788641951147913,0.34780222423781276,0.21050883213867397
r19,tiny_unet,147,02,unknown,unknown,568,28322946,120586,0.85,7985,311151,112601,27891209,0.02502068083826331,0.06621830063191415,0.03631840117164936,0.018495056017899785,0.5,0.04431144940051814,0.2744597216924021,0.07630368849577109,0.039665142590051355
r19,tiny_unet,147,03,unknown,unknown,936,46964736,319549,0.85,11174,372190,308375,46272997,0.029147233438716207,0.034968033071610304,0.03179340828808117,0.016153491418005924,0.3,0.10993075946931788,0.35405211720268254,0.1677700626151559,0.09156605248717604
r20,aspp_deeplabv3,147,01,unknown,unknown,454,22523399,245271,0.83,206783,1108822,38488,21169306,0.1571771162316957,0.8430796955204651,0.264957626358532,0.15270959970991652,0.95,0.2606795495610725,0.5899759857463786,0.3615909562279635,0.22069638690194762
r20,aspp_deeplabv3,147,02,unknown,unknown,568,28322946,120586,0.83,92665,6697786,27921,21504574,0.013646368996698452,0.7684557079594646,0.026816525508400548,0.013590487582666361,0.95,0.014908523447875561,0.5457101156021429,0.0290241225942242,0.01472576246464575
r20,aspp_deeplabv3,147,03,unknown,unknown,936,46964736,319549,0.83,253219,7476748,66330,39168439,0.03275809586250498,0.7924262006765785,0.06291533553073253,0.032479393742952584,0.95,0.03551373303485597,0.5286826120563669,0.0665565926050244,0.03442386384336918
