control_family,control_column,control_bin,n_grids,valid_pixels,flood_pixels,r19_f1,r20_f1,r20_minus_r19_f1,r19_fp_rate_valid,r20_fp_rate_valid,r20_minus_r19_fp_rate,lambda_star,f1_winner,low_fp_winner,f1_decision_switch_from_global,low_fp_decision_switch_from_global,f1_loss_if_using_global_winner,fp_rate_penalty_if_using_global_low_fp_winner
joint_land_memory,official_land_memory_regime,built_up__moderate,9,429910,35322,0.2783739837398374,0.3512134485616195,0.07283946482178211,0.12102300481496127,0.2417971203275104,0.12077411551254914,0.6031049328133035,r20,r19,True,False,0.07283946482178211,0.0
joint_land_memory,official_land_memory_regime,other__dry_or_trace,31149,1551031400,72615623,0.48267124576527803,0.28948379996491624,-0.1931874458003618,0.016675095681492974,0.2084238326832068,0.19174873700171383,-1.007503094002831,r19,r19,False,False,0.0,0.0
joint_land_memory,official_land_memory_regime,other__low,7247,361651015,97862100,0.6980781220721991,0.7213039262628793,0.02322580419068021,0.06421984464774695,0.19839907818314848,0.1341792335354015,0.1730953708611875,r20,r19,True,False,0.02322580419068021,0.0
joint_land_memory,official_land_memory_regime,other__missing_jrc_water_memory,2372,116438522,13985944,0.5890998630658643,0.5851576775275932,-0.003942185538271081,0.014720265858407237,0.15412193225881035,0.1394016664004031,-0.028279328648396142,r19,r19,False,False,0.0,0.0
joint_land_memory,official_land_memory_regime,other__moderate,61,3060520,1211620,0.5727427539492635,0.6481930662079702,0.07545031225870669,0.26997372995438684,0.41554082312809587,0.14556709317370903,0.5183198387335375,r20,r19,True,False,0.07545031225870669,0.0
joint_land_memory,official_land_memory_regime,water_wetland__dry_or_trace,158,7691085,660008,0.34840484787613657,0.7597778552839858,0.4113730074078492,0.005266747149459406,0.01936800854495822,0.014101261395498815,29.172780779679844,r20,r19,True,False,0.4113730074078492,0.0
joint_land_memory,official_land_memory_regime,water_wetland__high,57,2854770,150781,0.12022733479203401,0.10166284769546724,-0.018564487096566773,0.7284173506096814,0.9319927699954812,0.20357541938579982,-0.09119218397082039,r19,r19,False,False,0.0,0.0
joint_land_memory,official_land_memory_regime,water_wetland__low,584,28779644,5780138,0.41620358509964506,0.5217957583412016,0.10559217324155656,0.16552244357157442,0.32763799996970083,0.16211555639812641,0.651338931238908,r20,r19,True,False,0.10559217324155656,0.0
joint_land_memory,official_land_memory_regime,water_wetland__missing_jrc_water_memory,191,9289817,3629995,0.42082601412580245,0.6647862178836683,0.24396020375786587,0.24329704234216884,0.34894530215180775,0.1056482598096389,2.309173896450758,r20,r19,True,False,0.24396020375786587,0.0
joint_land_memory,official_land_memory_regime,water_wetland__moderate,640,29493513,5005474,0.3491801243512618,0.388603882569881,0.03942375821861921,0.30413911696446605,0.5152497432231963,0.21111062625873023,0.18674454676811367,r20,r19,True,False,0.03942375821861921,0.0
joint_rain_memory,official_rain_memory_regime,high__dry_or_trace,11447,570075947,16733605,0.3331982781474956,0.5499521908797326,0.216753912732237,0.0017312167005004335,0.0372120611501611,0.03548084444966067,6.109040415871782,r20,r19,True,False,0.216753912732237,0.0
joint_rain_memory,official_rain_memory_regime,high__high,1,48820,0,0.0,0.0,0.0,0.6968455551003687,0.8615526423596886,0.16470708725931993,0.0,r19,r19,False,False,0.0,0.0
joint_rain_memory,official_rain_memory_regime,high__low,2692,133783435,27017962,0.57787784936524,0.7516871716521709,0.1738093222869309,0.0379344871807186,0.1162998393635206,0.078365352182802,2.217935828087492,r20,r19,True,False,0.1738093222869309,0.0
joint_rain_memory,official_rain_memory_regime,high__moderate,272,13291851,2717579,0.3288905010297473,0.42699562180304523,0.09810512077329792,0.3435268722166687,0.5265500643965991,0.1830231921799304,0.536025623882959,r20,r19,True,False,0.09810512077329792,0.0
joint_rain_memory,official_rain_memory_regime,low__dry_or_trace,9594,478141022,32744916,0.5776340013100337,0.2553854049985176,-0.32224859631151614,0.03285378429629909,0.3900823531514516,0.35722856885515253,-0.9020795770737476,r19,r19,False,False,0.0,0.0
joint_rain_memory,official_rain_memory_regime,low__high,38,1903753,90158,0.10245190314102545,0.09124443725753692,-0.011207465883488532,0.7879330984639289,0.9415953645247046,0.1536622660607757,-0.07293570614828636,r19,r19,False,False,0.0,0.0
joint_rain_memory,official_rain_memory_regime,low__low,2772,138677859,49054917,0.7326482945658709,0.7153455236427364,-0.01730277092313448,0.10373180047436412,0.27459244233068236,0.17086064185631825,-0.10126832449619902,r19,r19,False,False,0.0,0.0
joint_rain_memory,official_rain_memory_regime,low__missing_jrc_water_memory,1800,88689614,12196628,0.4390365812920371,0.7184725808729165,0.27943599958087945,0.03192148293711144,0.08954573869269518,0.05762425575558374,4.84927737316247,r20,r19,True,False,0.27943599958087945,0.0
joint_rain_memory,official_rain_memory_regime,low__moderate,208,9290876,1893792,0.48236574593887116,0.4609228533510335,-0.02144289258783766,0.29487908352237185,0.46164947201964596,0.1667703884972741,-0.12857733786587747,r19,r19,False,False,0.0,0.0
joint_rain_memory,official_rain_memory_regime,mid__dry_or_trace,10917,542987342,24179153,0.39881028848920996,0.26323318015848557,-0.1355771083307244,0.017217230084159124,0.2142773781271682,0.1970601480430091,-0.687998611982846,r19,r19,False,False,0.0,0.0
joint_rain_memory,official_rain_memory_regime,mid__high,18,902197,60623,0.17134589475621698,0.12787602818040442,-0.04346986657581256,0.6045398067162715,0.9155417275827785,0.311001920866507,-0.13977362729689172,r19,r19,False,False,0.0,0.0
joint_rain_memory,official_rain_memory_regime,mid__low,2481,123609403,27988454,0.6608649381250767,0.653453410453094,-0.0074115276719827206,0.07098483438189569,0.2279054531150838,0.15692061873318813,-0.04723106327145274,r19,r19,False,False,0.0,0.0
joint_rain_memory,official_rain_memory_regime,mid__missing_jrc_water_memory,766,37189253,5429705,0.7447582442471982,0.44466712222714166,-0.3000911220200565,0.030738450164621484,0.3567146938928835,0.32597624372826206,-0.9205919995514037,r19,r19,False,False,0.0,0.0
joint_rain_memory,official_rain_memory_regime,mid__moderate,230,10401216,1641045,0.34816267056389755,0.37595437323525593,0.027791702671358387,0.24445478297922088,0.508045790030704,0.2635910070514832,0.10543494249760296,r20,r19,True,False,0.027791702671358387,0.0
joint_sar_pass_timing,sar_pass_timing_regime,all_ascending__same_day,3997,197643424,15337430,0.7078521308579032,0.5504646034786886,-0.15738752737921458,0.019370308014902637,0.1195272148290651,0.10015690681416246,-1.571409625012097,r19,r19,False,False,0.0,0.0
joint_sar_pass_timing,sar_pass_timing_regime,all_descending__1_3d,168,8429568,551382,0.1289156334558378,0.16615124270856732,0.03723560925272951,0.0032910346058066084,0.6197993776193513,0.6165083430135447,0.06039757559600688,r20,r19,True,False,0.03723560925272951,0.0
joint_sar_pass_timing,sar_pass_timing_regime,all_descending__gt10d,373,18512566,7866722,0.6516775040829867,0.9238703613576111,0.2721928572746244,0.013320843798747295,0.061177472642096185,0.04785662884334889,5.6876730319974,r20,r19,True,False,0.2721928572746244,0.0
joint_sar_pass_timing,sar_pass_timing_regime,all_descending__same_day,24896,1239501515,145349084,0.6216026891708829,0.4266796024414088,-0.19492308672947412,0.0507905647860382,0.3043129285727416,0.2535223637867034,-0.7688595349855181,r19,r19,False,False,0.0,0.0
joint_sar_pass_timing,sar_pass_timing_regime,mixed_or_ambiguous_pass_candidates__same_day,13802,684905515,32643919,0.15895853036076033,0.5512754077594301,0.3923168773986697,0.00456047576139024,0.05716325119677274,0.0526027754353825,7.45810224178368,r20,r19,True,False,0.3923168773986697,0.0
official_hydrography,hydro_distance_bin,far_2_10km,11293,560557290,41236416,0.6042053329127728,0.42237902148820644,-0.18182631142456634,0.01965224107601919,0.1867030629465188,0.16705082187049963,-1.0884490683052186,r19,r19,False,False,0.0,0.0
