signal_level,memory_level,model_name,n_rows,n_grids,valid_pixels,flood_pixels,tp,fp,fn,tn,pooled_precision,pooled_recall,pooled_f1,pooled_iou,fp_per_flood_pixel,fn_per_flood_pixel,fp_rate_valid,fp_rate_nonflood,predicted_positive_rate,median_grid_f1,mean_grid_f1,median_fp_rate_valid,mean_flood_fraction,mean_permanent_water_fraction,mean_obs_ambiguity_score,mean_hydro_implausibility_score
no_or_trace_signal,no_or_trace_memory,r19,124,124,5978042,226,0,21897,226,5955919,0.0,0.0,0.0,0.0,96.88938053097345,1.0,0.003662905011373289,0.0036630434928074064,0.003662905011373289,0.0,0.0,0.0,3.6323753291637134e-05,1.2857965766951613e-06,0.4394931532028306,0.6571675597764574
no_or_trace_signal,no_or_trace_memory,r20,124,124,5978042,226,134,388700,92,5589116,0.0003446200692326288,0.5929203539823009,0.0006888397676450933,0.00034453854974982387,1719.9115044247787,0.40707964601769914,0.06502128957943086,0.06502374780354564,0.06504370494553233,0.0,0.011163601744839052,0.014060507015306123,3.6323753291637134e-05,1.2857965766951613e-06,0.4394931532028306,0.6571675597764574
strong_signal,high_memory,r19,10,10,476179,226311,94710,71778,131601,178090,0.5688698284561049,0.4184949030316688,0.4822313702427959,0.31772390125096867,0.3171653167543778,0.5815050969683312,0.1507374327721298,0.28726367522051643,0.3496332261607505,0.39317032440489086,0.3948243101560741,0.11650988520408163,0.466551956345216,0.1816343452547338,0.8681623931623932,0.23383333333333334
strong_signal,high_memory,r20,10,10,476179,226311,219300,116660,7011,133208,0.6527562805095845,0.9690205071781751,0.7800509007222496,0.6394126617119231,0.5154853277127492,0.030979492821824835,0.24499190430489376,0.4668865160804905,0.7055330033453806,0.778169997105165,0.7761350924553437,0.1934191645408163,0.466551956345216,0.1816343452547338,0.8681623931623932,0.23383333333333334
strong_signal,moderate_memory,r19,6,6,301056,119546,57644,1448,61902,180062,0.9754958369999324,0.48219095578271126,0.6453722052418859,0.476420318362894,0.01211249226239272,0.5178090442172888,0.004809736394557823,0.007977521899619856,0.19628241921768708,0.6229694241230538,0.585353298393122,0.0016342474489795917,0.3970889136904762,0.010991310586734632,0.8853276353276353,0.1713888888888889
strong_signal,moderate_memory,r20,6,6,301056,119546,106208,11988,13338,169522,0.8985752478933298,0.8884278855001422,0.8934727561810704,0.807456627183846,0.10027939036019608,0.1115721144998578,0.03981983418367347,0.0660459478816594,0.3926046981292517,0.8952660031866613,0.8887887678511143,0.0387336575255102,0.3970889136904762,0.010991310586734632,0.8853276353276353,0.1713888888888889
strong_signal,no_or_trace_memory,r19,27,27,1324478,877613,350516,2002,527097,444863,0.9943208573746589,0.39939700072811135,0.5698840204823714,0.3984879748526344,0.002281187721695098,0.6006029992718886,0.0015115388855081022,0.004480100253991697,0.26615617624452803,0.3454892110280543,0.4412307543207703,1.992984693877551e-05,0.6673232505934692,0.0,0.7772501846575921,0.1871720679012346
strong_signal,no_or_trace_memory,r20,27,27,1324478,877613,825670,56451,51943,390414,0.9360053779470163,0.9408133197662295,0.9384031904821978,0.8839544185409137,0.06432334069800698,0.05918668023377047,0.04262131949341552,0.1263267429760666,0.6660140825291171,0.9207084510739488,0.9162656009126766,0.02365672831632653,0.6673232505934692,0.0,0.7772501846575921,0.1871720679012346
weak_signal,high_memory,r19,13,13,568094,5747,278,64285,5469,498062,0.0043058717841488155,0.04837306420741256,0.007907836723083485,0.00396961389079278,11.185836088393945,0.9516269357925874,0.11315908986893014,0.11431553827085411,0.11364844550373705,0.0,0.01734620021451562,0.052256058673469385,0.010654100265386247,0.1769637588842639,0.532160859083936,0.6008957489878543
weak_signal,high_memory,r20,13,13,568094,5747,3441,129248,2306,433099,0.02593282035436246,0.5987471724377936,0.0497125025282441,0.025489832956776176,22.48964677222899,0.40125282756220637,0.2275116441997275,0.22983673781490788,0.23356874038451383,0.0284398976982097,0.05442048098110056,0.1532597037423544,0.010654100265386247,0.1769637588842639,0.532160859083936,0.6008957489878543
weak_signal,moderate_memory,r19,16,16,754864,10688,276,11361,10412,732815,0.023717452951791698,0.025823353293413173,0.024725643896976485,0.012517574493174293,1.0629678143712575,0.9741766467065869,0.015050393183407873,0.015266549848422954,0.015416021958922402,0.0,0.03079616111121365,0.004663584183673469,0.013650054639855805,0.018428404680295427,0.3947649572649573,0.5884354440789473
weak_signal,moderate_memory,r20,16,16,754864,10688,6648,63662,4040,680514,0.09455269520694069,0.6220059880239521,0.16415220128892072,0.08941492938802958,5.956399700598802,0.37799401197604793,0.084335721401471,0.08554696738405969,0.09314260582038619,0.34831102513539614,0.3030644168433657,0.02299877253951313,0.013650054639855805,0.018428404680295427,0.3947649572649573,0.5884354440789473
weak_signal,no_or_trace_memory,r19,79,79,3896029,64331,2346,22209,61985,3809489,0.09554062309102015,0.036467643904183056,0.05278671556825597,0.027108851398197364,0.34523013788064855,0.963532356095817,0.005700419581065747,0.005796124851175641,0.006302571156426197,0.0,0.033156847221175324,0.0,0.016419469777992378,4.793254327046552e-06,0.34066320458725524,0.48438006606706646
weak_signal,no_or_trace_memory,r20,79,79,3896029,64331,39052,108642,25279,3723056,0.2644115536176148,0.6070479240179696,0.3683716542860512,0.22576933972354066,1.6887970030001087,0.3929520759820304,0.02788531604872551,0.028353487148517445,0.03790885540123033,0.4707182320441989,0.40711131081101143,0.007035235969387755,0.016419469777992378,4.793254327046552e-06,0.34066320458725524,0.48438006606706646
