mechanism_regime,n_grids,r19_pooled_f1,r20_pooled_f1,delta_f1,r19_fp_rate_valid,r20_fp_rate_valid,delta_fp_rate,lambda_star,decision_rule
low_signal_low_memory,3907,0.0091664737222136,0.2330874660216737,0.2239209922994601,0.0010343658477569,0.021022638316754,0.019988272468997,11.202618567801439,R20 if lambda < lambda_star; R19 if lambda > lambda_star
memory_dominated_low_signal,337,0.0164482316761906,0.0649968896432353,0.0485486579670446,0.1146513407434412,0.2557205309718117,0.1410691902283705,0.3441478460920587,R20 if lambda < lambda_star; R19 if lambda > lambda_star
mixed_transition,1128,0.1974233017423244,0.654577399481288,0.4571540977389636,0.0229727183887972,0.0628870184651534,0.0399143000763562,11.453391312497681,R20 if lambda < lambda_star; R19 if lambda > lambda_star
signal_plus_memory,139,0.4442047909359809,0.7427606573405675,0.2985558664045866,0.1202512254197602,0.2777123576844751,0.1574611322647149,1.8960607110500836,R20 if lambda < lambda_star; R19 if lambda > lambda_star
signal_rich_low_memory,1592,0.2900744373228695,0.8446558659558698,0.5545814286330003,0.0007628255085976,0.0337790770314981,0.0330162515229004,16.797225701056256,R20 if lambda < lambda_star; R19 if lambda > lambda_star
