signal_memory_cell,low_n_grids,high_n_grids,low_lambda_star,high_lambda_star,high_minus_low_lambda_star,low_delta_f1,high_delta_f1,high_minus_low_delta_f1,low_delta_fp_rate,high_delta_fp_rate,high_minus_low_delta_fp_rate
weak_signal__no_or_trace_memory,45,6,67.91515952602606,1.8050645426258964,-66.11009498340016,0.5110385731797658,0.0980534739075422,-0.41298509927222354,0.0075246613089958,0.0543213118379136,0.046796650528917794
weak_signal__moderate_memory,9,2,29.601689464016346,3.651494827058507,-25.95019463695784,0.3593495570312109,0.1918150959637101,-0.1675344610675008,0.01213949485782,0.0525305676300871,0.0403910727722671
no_or_trace_signal__no_or_trace_memory,50,28,0.029518726002758372,0.0024946103865941802,-0.02702411561616419,0.0017196069865967,0.00018766831502,-0.0015319386715767001,0.0582547833004721,0.0752295091965115,0.0169747258960394
no_or_trace_signal__moderate_memory,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0044444799718622,0.0055404974489795,0.0010960174771173
moderate_signal__moderate_memory,1,6,10.275058034939722,11.65908631301596,1.3840282780762383,0.657959212895833,0.4824259878601979,-0.17553322503563512,0.0640345982142857,0.0413776838860544,-0.022656914328231297
moderate_signal__no_or_trace_memory,4,9,14.672487924714567,19.5068439976371,4.834356072922535,0.4680429051582069,0.376457415318982,-0.09158548983922488,0.0318993552804244,0.0192987351190476,-0.012600620161376804
