hydro_control_group,model_name,n_rows,n_grids,valid_pixels,flood_pixels,tp,fp,fn,tn,pooled_precision,pooled_recall,pooled_f1,pooled_iou,fp_per_flood_pixel,fn_per_flood_pixel,fp_rate_valid,fp_rate_nonflood,predicted_positive_rate,median_grid_f1,mean_grid_f1,median_fp_rate_valid,mean_flood_fraction,mean_permanent_water_fraction,mean_obs_ambiguity_score,mean_hydro_implausibility_score
hydrologic_negative_control,r19,48,48,2350862,37,0,3204,37,2347621,0.0,0.0,0.0,0.0,86.5945945945946,1.0,0.0013629043304115682,0.0013629257813746237,0.0013629043304115682,0.0,0.0,0.0,1.5362590348637498e-05,0.0,0.4331523029439696,0.8752777777777778
hydrologic_negative_control,r20,48,48,2350862,37,10,48383,27,2302442,0.00020664145640898477,0.2702702702702703,0.0004129671691100558,0.00020652622883106156,1307.6486486486488,0.7297297297297297,0.020580961366511517,0.020581285293460806,0.020585215125345512,0.0,0.000448510943667025,0.00799186862244898,1.5362590348637498e-05,0.0,0.4331523029439696,0.8752777777777778
low_signal_plausible_control,r19,5,5,204220,0,0,5304,0,198916,0.0,0.0,0.0,0.0,0.0,0.0,0.025971990990108707,0.025971990990108707,0.025971990990108707,0.0,0.0,0.01610406718261156,0.0,0.0,0.29415954415954415,0.14027521929824563
low_signal_plausible_control,r20,5,5,204220,0,0,67496,0,136724,0.0,0.0,0.0,0.0,0.0,0.0,0.3305063167172657,0.3305063167172657,0.3305063167172657,0.0,0.0,0.03866763835898315,0.0,0.0,0.29415954415954415,0.14027521929824563
