model,event,aoi,region,aoi_name,grid_id,valid_pixels,flood_pixels,permanent_water_pixels,selected_threshold,selected_tp,selected_fp,selected_fn,selected_tn,selected_precision,selected_recall,selected_f1,selected_iou
r19,147,01,unknown,unknown,00004e95b5bf5ec788df87bc61471199,50176,0,0,0.85,0,0,0,50176,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,0223e6a95a7f574b890d81c9673f5ff4,50176,94,0,0.85,0,0,94,50082,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,02fc33eefddf5d27b945d74d751c1500,50176,12,13,0.85,0,0,12,50164,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,03d8056a79635db4940ccd315f19b60e,50176,0,0,0.85,0,0,0,50176,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,03e65d41d56651d6a80f68e640f1e0fa,50176,0,0,0.85,0,0,0,50176,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,0479b4780d435dccb9f2f219cf060fad,50176,0,0,0.85,0,0,0,50176,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,04bf69db056759cb8ba606108365f1e2,50176,0,0,0.85,0,0,0,50176,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,052c68f175865e59bf9fe93f4a0e0631,50176,0,0,0.85,0,0,0,50176,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,055cba653dec55b08a9c14cf2adbd476,50176,2969,0,0.85,80,4,2889,47203,0.9523809523809523,0.02694509936005389,0.052407468064199145,0.026908846283215607
r19,147,01,unknown,unknown,05bf6f16e08a5cdb835b2c6353277c88,50176,0,0,0.85,0,0,0,50176,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,05c079864cf356dc99ea68fddf12ea2a,50176,0,0,0.85,0,0,0,50176,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,06bb7e2cce6b596f864e0f1cb7af687a,50176,9669,0,0.85,645,0,9024,40507,1.0,0.06670803599131245,0.12507271669575337,0.06670803599131245
r19,147,01,unknown,unknown,0855075172d156448b7ba61bedb33308,43152,0,5518,0.85,0,4649,0,38503,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,08dc87c45dcd5b619c58eeac1b316185,50176,3952,2537,0.85,0,0,3952,46224,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,0984c543efd752839644cc6550567a34,50176,0,0,0.85,0,0,0,50176,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,0aae6dbdc438579c9220865a8802420d,50176,0,0,0.85,0,0,0,50176,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,0acb73a7509c5091971e7b4461b058d5,50176,0,0,0.85,0,21,0,50155,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,0afd0d41af335f488531a99ae98540af,50176,0,0,0.85,0,0,0,50176,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,0b03abfa045c50e0bbf73ec14f27f9c6,31915,15384,0,0.85,1378,394,14006,16137,0.7776523702031602,0.08957358294331773,0.16064350664490556,0.08733679807326658
r19,147,01,unknown,unknown,0b20de201fa054d2b85f3ab44663b550,50176,0,0,0.85,0,53,0,50123,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,0b2fe9c03e62551ca133b73c8a6404c2,50176,0,0,0.85,0,0,0,50176,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,0b596dfe6d01536b9b2a482e8b2d2a74,50176,0,4926,0.85,0,1210,0,48966,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,0b8f0636272b5ef7bd56e33b44145240,50176,286,70,0.85,0,0,286,49890,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,0c6af9fc45ef581da01488902ecbb28b,42093,0,0,0.85,0,524,0,41569,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,0c87460a9ad458a7adc5bf24c6781fc9,50176,0,0,0.85,0,17,0,50159,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,0cafa9bd0ffe52d2968ad54941e78a97,50176,24348,3006,0.85,1668,63,22680,25765,0.9636048526863085,0.06850665352390341,0.1279190152996664,0.06832985129654665
r19,147,01,unknown,unknown,0d00e6521abc5b63b56845628d61765b,50176,0,0,0.85,0,0,0,50176,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,0d8357cfec9a560aa12df15a21ea8e42,50176,0,0,0.85,0,0,0,50176,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,0e2c889dca5d5d6896daa4770321b1ab,50176,12084,2754,0.85,0,68,12084,38024,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,0e3707de6643582eaa080df78d75bc01,50176,0,0,0.85,0,0,0,50176,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,0e6deba166a15ab69600ddca7e7d2108,50176,0,0,0.85,0,0,0,50176,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,0ecd571cb3d5595ab754279dc29e3884,50176,0,0,0.85,0,0,0,50176,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,0edadaae8d5f5ab9ba7dd3fd1a8db3f0,50176,0,0,0.85,0,0,0,50176,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,0f44365703f05820bb6400ae15053872,50176,0,0,0.85,0,0,0,50176,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,0f4c5e675bc557778540b924a1806172,50176,0,429,0.85,0,68,0,50108,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,0f66da2d27a95f0bb8a1dbc6339101fc,37110,0,0,0.85,0,497,0,36613,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,0f8720b1cb435b86950d23068b554da1,50176,0,0,0.85,0,0,0,50176,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,10d9764f061259cca8e6ba936e28d00f,50176,0,0,0.85,0,0,0,50176,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,10f6e7139ca55a0daf6fd33b1dbfe740,50176,0,0,0.85,0,132,0,50044,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,1107251f2a235571a604f3eb6ee599ed,50176,0,0,0.85,0,0,0,50176,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,112184aa3c575aacbdf5eace9c359c01,50176,0,0,0.85,0,0,0,50176,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,11dabf15a0b05941a2058226ac7c3f0e,50176,0,0,0.85,0,0,0,50176,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,14f0059d475d5887bcef95e44cd40f7b,50176,0,0,0.85,0,82,0,50094,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,15557eaf7cd35275b03963aeb5c5df92,50176,0,0,0.85,0,0,0,50176,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,15c81f4837ce560188822d38715d4f16,50176,0,0,0.85,0,0,0,50176,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,16df7f0cf28656c3b5bb8f59906f78c5,50176,0,0,0.85,0,0,0,50176,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,17bd6f7a619f5c109c699f45fddfc550,50176,0,0,0.85,0,0,0,50176,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,17fc141d5ddb5958993126406ba361d8,23945,714,0,0.85,28,491,686,22740,0.05394990366088632,0.0392156862745098,0.04541768045417681,0.023236514522821577
r19,147,01,unknown,unknown,193abc0a461b50e983d2a1ea6d35565e,40804,0,6443,0.85,0,4261,0,36543,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,1baa4ced0b975244a28e0885bca77582,50176,0,0,0.85,0,97,0,50079,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,1c7f1ffe76785d1ab8329b06ebb6cd95,50176,2343,0,0.85,0,0,2343,47833,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,1dc6231a972c55aa8859dfa6978c9b69,50176,14905,0,0.85,1021,23,13884,35248,0.9779693486590039,0.06850050318685005,0.1280331055238573,0.06839496248660236
r19,147,01,unknown,unknown,1e3a8e8913c55c29ab7301e99560a335,50176,0,0,0.85,0,0,0,50176,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,1e7237a4a59c5f07aac61fb71281a501,50176,0,0,0.85,0,0,0,50176,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,1ea24962413f53b28b1011bdd0e64100,50176,0,0,0.85,0,0,0,50176,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,1f26cff71c57504fa5cc25049c1aeddb,50176,0,573,0.85,0,0,0,50176,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,1fc15a7fdefa58bca75647ac12aad7c4,50176,0,0,0.85,0,0,0,50176,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,1fdc98b74fa9519d89d92ef54746d7ab,50176,0,0,0.85,0,0,0,50176,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,217501688a255a00abd5edfbf7d7092d,50176,2263,0,0.85,0,0,2263,47913,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,21c16c414b1f55f19b26c262601786b3,50176,0,0,0.85,0,0,0,50176,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,22212067f03d549cbce7c740284a71c3,50176,0,0,0.85,0,39,0,50137,0.0,0.0,0.0,0.0
r19,147,01,unknown,unknown,22344d24b14f556e903bd8d8c244d81b,50176,0,0,0.85,0,0,0,50176,0.0,0.0,0.0,0.0
