source_family,url,local_path,status,bytes,bytes_human
JRC_GSW_occurrence,http://storage.googleapis.com/global-surface-water/downloads2021/occurrence/occurrence_100W_30Nv1_4_2021.tif,<external data root>\r58_official_controls\jrc_gsw_v1_4_2021\occurrence\occurrence_100W_30Nv1_4_2021.tif,already_present,39655096,37.82 MB
JRC_GSW_occurrence,http://storage.googleapis.com/global-surface-water/downloads2021/occurrence/occurrence_100W_40Nv1_4_2021.tif,<external data root>\r58_official_controls\jrc_gsw_v1_4_2021\occurrence\occurrence_100W_40Nv1_4_2021.tif,already_present,57873184,55.19 MB
JRC_GSW_occurrence,http://storage.googleapis.com/global-surface-water/downloads2021/occurrence/occurrence_10E_20Nv1_4_2021.tif,<external data root>\r58_official_controls\jrc_gsw_v1_4_2021\occurrence\occurrence_10E_20Nv1_4_2021.tif,already_present,22428892,21.39 MB
JRC_GSW_occurrence,http://storage.googleapis.com/global-surface-water/downloads2021/occurrence/occurrence_10W_50Nv1_4_2021.tif,<external data root>\r58_official_controls\jrc_gsw_v1_4_2021\occurrence\occurrence_10W_50Nv1_4_2021.tif,already_present,42261612,40.30 MB
JRC_GSW_occurrence,http://storage.googleapis.com/global-surface-water/downloads2021/occurrence/occurrence_120E_20Nv1_4_2021.tif,<external data root>\r58_official_controls\jrc_gsw_v1_4_2021\occurrence\occurrence_120E_20Nv1_4_2021.tif,already_present,59806782,57.04 MB
JRC_GSW_occurrence,http://storage.googleapis.com/global-surface-water/downloads2021/occurrence/occurrence_40E_20Nv1_4_2021.tif,<external data root>\r58_official_controls\jrc_gsw_v1_4_2021\occurrence\occurrence_40E_20Nv1_4_2021.tif,already_present,38469074,36.69 MB
JRC_GSW_occurrence,http://storage.googleapis.com/global-surface-water/downloads2021/occurrence/occurrence_40E_20Sv1_4_2021.tif,<external data root>\r58_official_controls\jrc_gsw_v1_4_2021\occurrence\occurrence_40E_20Sv1_4_2021.tif,already_present,24520550,23.38 MB
JRC_GSW_occurrence,http://storage.googleapis.com/global-surface-water/downloads2021/occurrence/occurrence_60E_30Nv1_4_2021.tif,<external data root>\r58_official_controls\jrc_gsw_v1_4_2021\occurrence\occurrence_60E_30Nv1_4_2021.tif,already_present,46178626,44.04 MB
JRC_GSW_occurrence,http://storage.googleapis.com/global-surface-water/downloads2021/occurrence/occurrence_80E_30Nv1_4_2021.tif,<external data root>\r58_official_controls\jrc_gsw_v1_4_2021\occurrence\occurrence_80E_30Nv1_4_2021.tif,already_present,83431512,79.57 MB
JRC_GSW_occurrence,http://storage.googleapis.com/global-surface-water/downloads2021/occurrence/occurrence_90E_20Nv1_4_2021.tif,<external data root>\r58_official_controls\jrc_gsw_v1_4_2021\occurrence\occurrence_90E_20Nv1_4_2021.tif,already_present,57192916,54.54 MB
JRC_GSW_occurrence,http://storage.googleapis.com/global-surface-water/downloads2021/occurrence/occurrence_90W_10Sv1_4_2021.tif,<external data root>\r58_official_controls\jrc_gsw_v1_4_2021\occurrence\occurrence_90W_10Sv1_4_2021.tif,already_present,12212116,11.65 MB
JRC_GSW_occurrence,http://storage.googleapis.com/global-surface-water/downloads2021/occurrence/occurrence_90W_20Nv1_4_2021.tif,<external data root>\r58_official_controls\jrc_gsw_v1_4_2021\occurrence\occurrence_90W_20Nv1_4_2021.tif,already_present,46905880,44.73 MB
JRC_GSW_occurrence,http://storage.googleapis.com/global-surface-water/downloads2021/occurrence/occurrence_90W_40Nv1_4_2021.tif,<external data root>\r58_official_controls\jrc_gsw_v1_4_2021\occurrence\occurrence_90W_40Nv1_4_2021.tif,already_present,53487920,51.01 MB
JRC_GSW_seasonality,http://storage.googleapis.com/global-surface-water/downloads2021/seasonality/seasonality_100W_30Nv1_4_2021.tif,<external data root>\r58_official_controls\jrc_gsw_v1_4_2021\seasonality\seasonality_100W_30Nv1_4_2021.tif,already_present,20460596,19.51 MB
JRC_GSW_seasonality,http://storage.googleapis.com/global-surface-water/downloads2021/seasonality/seasonality_100W_40Nv1_4_2021.tif,<external data root>\r58_official_controls\jrc_gsw_v1_4_2021\seasonality\seasonality_100W_40Nv1_4_2021.tif,already_present,30301038,28.90 MB
JRC_GSW_seasonality,http://storage.googleapis.com/global-surface-water/downloads2021/seasonality/seasonality_10E_20Nv1_4_2021.tif,<external data root>\r58_official_controls\jrc_gsw_v1_4_2021\seasonality\seasonality_10E_20Nv1_4_2021.tif,already_present,15171146,14.47 MB
JRC_GSW_seasonality,http://storage.googleapis.com/global-surface-water/downloads2021/seasonality/seasonality_10W_50Nv1_4_2021.tif,<external data root>\r58_official_controls\jrc_gsw_v1_4_2021\seasonality\seasonality_10W_50Nv1_4_2021.tif,already_present,14614104,13.94 MB
JRC_GSW_seasonality,http://storage.googleapis.com/global-surface-water/downloads2021/seasonality/seasonality_120E_20Nv1_4_2021.tif,<external data root>\r58_official_controls\jrc_gsw_v1_4_2021\seasonality\seasonality_120E_20Nv1_4_2021.tif,already_present,16577474,15.81 MB
JRC_GSW_seasonality,http://storage.googleapis.com/global-surface-water/downloads2021/seasonality/seasonality_40E_20Nv1_4_2021.tif,<external data root>\r58_official_controls\jrc_gsw_v1_4_2021\seasonality\seasonality_40E_20Nv1_4_2021.tif,already_present,14534640,13.86 MB
JRC_GSW_seasonality,http://storage.googleapis.com/global-surface-water/downloads2021/seasonality/seasonality_40E_20Sv1_4_2021.tif,<external data root>\r58_official_controls\jrc_gsw_v1_4_2021\seasonality\seasonality_40E_20Sv1_4_2021.tif,already_present,14124960,13.47 MB
JRC_GSW_seasonality,http://storage.googleapis.com/global-surface-water/downloads2021/seasonality/seasonality_60E_30Nv1_4_2021.tif,<external data root>\r58_official_controls\jrc_gsw_v1_4_2021\seasonality\seasonality_60E_30Nv1_4_2021.tif,already_present,25436728,24.26 MB
JRC_GSW_seasonality,http://storage.googleapis.com/global-surface-water/downloads2021/seasonality/seasonality_80E_30Nv1_4_2021.tif,<external data root>\r58_official_controls\jrc_gsw_v1_4_2021\seasonality\seasonality_80E_30Nv1_4_2021.tif,already_present,40022664,38.17 MB
JRC_GSW_seasonality,http://storage.googleapis.com/global-surface-water/downloads2021/seasonality/seasonality_90E_20Nv1_4_2021.tif,<external data root>\r58_official_controls\jrc_gsw_v1_4_2021\seasonality\seasonality_90E_20Nv1_4_2021.tif,already_present,22673842,21.62 MB
JRC_GSW_seasonality,http://storage.googleapis.com/global-surface-water/downloads2021/seasonality/seasonality_90W_10Sv1_4_2021.tif,<external data root>\r58_official_controls\jrc_gsw_v1_4_2021\seasonality\seasonality_90W_10Sv1_4_2021.tif,already_present,12138602,11.58 MB
JRC_GSW_seasonality,http://storage.googleapis.com/global-surface-water/downloads2021/seasonality/seasonality_90W_20Nv1_4_2021.tif,<external data root>\r58_official_controls\jrc_gsw_v1_4_2021\seasonality\seasonality_90W_20Nv1_4_2021.tif,already_present,15193432,14.49 MB
JRC_GSW_seasonality,http://storage.googleapis.com/global-surface-water/downloads2021/seasonality/seasonality_90W_40Nv1_4_2021.tif,<external data root>\r58_official_controls\jrc_gsw_v1_4_2021\seasonality\seasonality_90W_40Nv1_4_2021.tif,already_present,29200682,27.85 MB
ESA_WorldCover_v200_2021,https://esa-worldcover.s3.eu-central-1.amazonaws.com/v200/2021/map/ESA_WorldCover_10m_2021_v200_N09E042_Map.tif,<external data root>\r58_official_controls\esa_worldcover_v200_2021\ESA_WorldCover_10m_2021_v200_N09E042_Map.tif,already_present,85440675,81.48 MB
