metric,u_net,aspp,contrast,winner
Pooled precision,0.6136817063707686,0.3008703550674763,-0.3128113513032923,U-Net
Pooled recall,0.5525969985100809,0.9520639547438206,0.3994669562337396,ASPP
Pooled F1,0.5815396741136193,0.4572431577100966,-0.12429651640352268,U-Net
Event-median F1,0.4382605244997868,0.6010175276921739,0.16275700319238706,ASPP
Event pass rate (F1 >= 0.50),0.3571428571428571,0.5714285714285714,0.2142857142857143,ASPP
False positives (pixels),70181236.0,446328723.0,376147487.0,U-Net
False negatives (pixels),90262901.0,9671027.0,-80591874.0,ASPP
