model,architecture,selected_threshold,n_events,valid_pixels_total,flood_pixels_total,selected_tp,selected_fp,selected_fn,selected_tn,selected_precision,selected_recall,selected_f1,selected_iou,best_kuro_threshold_pooled,best_kuro_tp,best_kuro_fp,best_kuro_fn,best_kuro_tn,best_kuro_precision,best_kuro_recall,best_kuro_f1,best_kuro_iou,selected_event_f1_min,selected_event_f1_q10,selected_event_f1_median,best_kuro_event_f1_min,best_kuro_event_f1_q10,best_kuro_event_f1_median,pass_rate_selected_f1_ge_050,pass_rate_selected_f1_ge_060,pass_rate_selected_f1_ge_070,pass_rate_best_kuro_f1_ge_050,pass_rate_best_kuro_f1_ge_060,pass_rate_best_kuro_f1_ge_070
r19,tiny_unet,0.85,3,97811081,685406,30865,723111,654541,96402564,0.04093631627531911,0.045031703836849984,0.04288646099506594,0.021913118549509874,0.3,261499,2405222,423907,94720453,0.09806012702491186,0.38152423527077384,0.156019745075291,0.0846103122083926,0.03179340828808117,0.03269840686479481,0.03631840117164936,0.07630368849577109,0.09459696331964805,0.1677700626151559,0.0,0.0,0.0,0.0,0.0,0.0
r20,aspp_deeplabv3,0.83,3,97811081,685406,552667,15283356,132739,81842319,0.03489935572839216,0.8063352232107686,0.0669030505775257,0.03460925774959887,0.95,379449,9346605,305957,87779070,0.039013663711922636,0.5536120197372069,0.0728906416583265,0.03782382216287442,0.026816525508400548,0.03403628751286694,0.06291533553073253,0.0290241225942242,0.03653061659638424,0.0665565926050244,0.0,0.0,0.0,0.0,0.0,0.0
