model,threshold,pooled_precision,pooled_recall,pooled_f1,pooled_iou,pooled_fpr,pooled_fnr,event_min_f1,event_q10_f1,event_median_f1,event_mean_f1,event_max_f1,pass_rate_f1_ge_030,pass_rate_f1_ge_050,pass_rate_f1_ge_060,pass_rate_f1_ge_070,event_median_precision,event_median_recall,false_positive_pixels,false_negative_pixels,flood_pixels,valid_pixels,false_positive_per_flood_pixel,false_negative_per_flood_pixel,aggregation_bias_index,tail_gap_median_minus_q10
r19,0.05,0.1917148956740638,0.9874139112096758,0.32108783004798086,0.19124754456759763,0.43131838228941133,0.012586088790324164,0.023832022655332148,0.0553989998435178,0.3469870648946624,0.3425681165603915,0.9124217694242385,0.7142857142857143,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.21145947659914308,0.9738990088357505,839882154.0,2539225.0,201748537.0,2148992588.0,4.163014842580989,0.012586088790324164,-0.02589923484668155,0.2915880650511446
r19,0.1,0.2352175587884722,0.9345293790160174,0.3758380758163517,0.23140431395426228,0.31481189771009344,0.06547062098398265,0.026331220730815882,0.06732976626445852,0.4516746852751298,0.40164394944463755,0.9040504626419047,0.7142857142857143,0.35714285714285715,0.07142857142857142,0.07142857142857142,0.3008634265678206,0.9075628705639616,613015595.0,13208602.0,201748537.0,2148992588.0,3.03851321112678,0.06547062098398265,-0.07583660945877807,0.38434491901067125
r19,0.15,0.28442046063404375,0.890939699850215,0.4311894997770746,0.2748512326477948,0.23223913138559127,0.10906030014978497,0.026758754958077953,0.08396485254761932,0.5092475283922545,0.44629500405466327,0.8913294987102697,0.7857142857142857,0.5,0.21428571428571427,0.07142857142857142,0.3669102353145961,0.8305924292298184,452226267.0,22002756.0,201748537.0,2148992588.0,2.24153430664035,0.10906030014978497,-0.07805802861517991,0.4252826758446352
r19,0.2,0.32821312850210366,0.8559200258289853,0.4744807429762835,0.3110290091663569,0.18150924883734565,0.14407997417101467,0.02625548978422761,0.10135735046073463,0.4919856524979691,0.47284366540539907,0.8797127123299597,0.7857142857142857,0.42857142857142855,0.21428571428571427,0.14285714285714285,0.4075111479309549,0.7731764930841651,353442805.0,29067924.0,201748537.0,2148992588.0,1.751897734951109,0.14407997417101467,-0.017504909521685597,0.3906283020372345
r19,0.25,0.3651866883635513,0.8258004022105995,0.506422473458039,0.33906674709450474,0.1487291805314649,0.17419959778940058,0.026246936306193576,0.11753256358388289,0.4877835086517964,0.4871770105123165,0.8685550327313152,0.8571428571428571,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.4316595829524248,0.7170282727007131,289612012.0,35144514.0,201748537.0,2148992588.0,1.435509849570805,0.17419959778940058,0.01863896480624261,0.37025094506791356
r19,0.3,0.39632899691119683,0.7981911462386466,0.529662556376796,0.3602319716973283,0.12596253195588786,0.20180885376135344,0.026401047963399822,0.12759634148813565,0.5061904403767514,0.49284453467850653,0.857340111996474,0.8571428571428571,0.5,0.2857142857142857,0.14285714285714285,0.4623390685610573,0.6737188391918882,245279791.0,40714641.0,201748537.0,2148992588.0,1.2157698620634856,0.20180885376135344,0.02347211600004462,0.3785940988886158
r19,0.35,0.4240288108218252,0.7723795885568181,0.5474906371585015,0.37692744099594844,0.10869916068882113,0.22762041144318187,0.02673204294756431,0.12911582102058722,0.5209204356124064,0.4933112378839883,0.8456354093828288,0.8571428571428571,0.5714285714285714,0.2857142857142857,0.21428571428571427,0.48482698032247545,0.6351028685862314,211663794.0,45922085.0,201748537.0,2148992588.0,1.0491466116554788,0.22762041144318187,0.02657020154609513,0.3918046145918192
r19,0.4,0.44997359595161657,0.7480979007049752,0.5619435959264142,0.3907660327749282,0.09474252439249074,0.2519020992950249,0.026930615179074007,0.11432522307123874,0.535376484035134,0.4909357397568931,0.8329814778596175,0.8571428571428571,0.5714285714285714,0.2857142857142857,0.21428571428571427,0.5001608398875477,0.594198707791727,184486817.0,50820880.0,201748537.0,2148992588.0,0.9144394291196273,0.2519020992950249,0.026567111891280137,0.42105126096389534
r19,0.45,0.4756865279085469,0.7249771927714153,0.5744520763016258,0.40296931920134577,0.08279126487366015,0.27502280722858474,0.027766444799328566,0.10121030910131351,0.5376066465094316,0.4863684909676153,0.8187535991264873,0.7857142857142857,0.5714285714285714,0.2857142857142857,0.21428571428571427,0.5039945269690064,0.5542298132861623,161214798.0,55485449.0,201748537.0,2148992588.0,0.7990878169292499,0.27502280722858474,0.036845429792194184,0.43639633740811806
r19,0.5,0.5065091212831057,0.702693695369895,0.5886866310122412,0.4171197155416071,0.07093293412762877,0.29730630463010493,0.03181531499964961,0.09094891103434677,0.535597202847601,0.4818779848483578,0.8195162821451342,0.7857142857142857,0.5714285714285714,0.2857142857142857,0.21428571428571427,0.519976097219409,0.5249233259742866,138123734.0,59981112.0,201748537.0,2148992588.0,0.684633138132744,0.29730630463010493,0.05308942816464013,0.44464829181325427
