model_name,n_rows,n_grids,valid_pixels,flood_pixels,tp,fp,fn,tn,pooled_precision,pooled_recall,pooled_f1,pooled_iou,fp_per_flood_pixel,fn_per_flood_pixel,fp_rate_valid,fp_rate_nonflood,predicted_positive_rate,median_grid_f1,mean_grid_f1,median_fp_rate_valid,mean_flood_fraction,mean_permanent_water_fraction,mean_obs_ambiguity_score,mean_hydro_implausibility_score
r19,351,351,17030580,1717460,584951,386043,1132509,14927077,0.6024249377442085,0.3405907561165908,0.43515790115806335,0.2780842242678047,0.22477554062394467,0.6594092438834093,0.022667636686478088,0.02520995068281317,0.057014734671396984,0.0,0.10006265412162318,0.0,0.09982077937542344,0.02647221062705311,0.5,0.5035612535612536
r20,351,351,17030580,1717460,1495684,1177416,221776,14135704,0.5595316299427631,0.8708697728040246,0.6813181006523085,0.516665998819984,0.6855565777368905,0.12913022719597544,0.06913540231747832,0.07688936023488355,0.1569588352246371,0.1520840393087089,0.33738741236900527,0.020547130538209932,0.09982077937542344,0.02647221062705311,0.5,0.5035612535612536
