signal_memory_cell,ambiguity_level,n_grids,valid_pixels,flood_pixels,r19_pooled_precision,r20_pooled_precision,r20_minus_r19_pooled_precision,r19_pooled_recall,r20_pooled_recall,r20_minus_r19_pooled_recall,r19_pooled_f1,r20_pooled_f1,r20_minus_r19_pooled_f1,r19_pooled_iou,r20_pooled_iou,r20_minus_r19_pooled_iou,r19_fp_per_flood_pixel,r20_fp_per_flood_pixel,r20_minus_r19_fp_per_flood_pixel,r19_fp_rate_valid,r20_fp_rate_valid,r20_minus_r19_fp_rate_valid,r19_predicted_positive_rate,r20_predicted_positive_rate,r20_minus_r19_predicted_positive_rate,r19_median_grid_f1,r20_median_grid_f1,r20_minus_r19_median_grid_f1,f1_winner,precision_winner,recall_winner,low_fp_rate_winner,delta_f1,delta_fp_rate,lambda_star
moderate_signal__high_memory,high_ambiguity,12,601676,96745,0.2378774016468435,0.3572346835958246,0.119357281948981,0.3171223319034575,0.7439247506331077,0.4268024187296501,0.2718424235443184,0.4826834600887958,0.2108410365444774,0.1573018729587416,0.3181165217621916,0.16081464880345,1.016011163367616,1.3385291229520906,0.3225179595844747,0.1633669948610215,0.215225470186612,0.0518584753255905,0.2143578936171627,0.3348430052054594,0.1204851115882966,0.2235482705014544,0.4955795674757077,0.2720312969742532,r20,r20,r20,r19,0.2108410365444774,0.0518584753255905,4.065700644315589
moderate_signal__high_memory,mid_ambiguity,6,295141,26521,0.2455479452054794,0.4390839079430464,0.193535962737567,0.1351758983447079,0.7395271671505599,0.6043512688058519,0.1743634639235427,0.5510120945651716,0.3766486306416289,0.0955083120204603,0.3802737707460834,0.2847654587256231,0.41533124693639,0.944723049658761,0.529391802722371,0.0373211448087524,0.0848916280692956,0.0475704832605432,0.0494678814532714,0.1513446115585432,0.1018767301052717,0.1592438558654315,0.49091909568995,0.3316752398245184,r20,r20,r20,r19,0.3766486306416289,0.0475704832605432,7.917696117963044
moderate_signal__moderate_memory,high_ambiguity,6,301056,48081,0.7977730965994583,0.7244445290634579,-0.0733285675360003,0.1654083733699382,0.7913728915787941,0.6259645182088559,0.2740051679586563,0.7564311558188542,0.4824259878601979,0.1587520210791065,0.6082744508744444,0.4495224297953379,0.0419292444000748,0.3010128741082756,0.2590836297082007,0.0066964285714285,0.0480741124574829,0.0413776838860544,0.0331134406887755,0.1744625584608843,0.1413491177721088,0.1430165963187427,0.7459884884328185,0.6029718921140759,r20,r19,r20,r19,0.4824259878601979,0.0413776838860544,11.65908631301596
moderate_signal__moderate_memory,low_ambiguity,1,50176,4391,0.101063829787234,0.5319625675497561,0.4308987377625221,0.008654065133227,0.9191528125711684,0.9104987474379412,0.0159429410530732,0.6739021539489063,0.657959212895833,0.0080355254810742,0.508184336439184,0.5001488109581098,0.0769756319744932,0.8086996128444546,0.7317239808699613,0.0067362882653061,0.0707708864795918,0.0640345982142857,0.0074936224489795,0.1512077487244898,0.1437141262755102,0.0159429410530732,0.6739021539489063,0.6579592128958331,r20,r20,r20,r19,0.657959212895833,0.0640345982142857,10.275058034939722
moderate_signal__moderate_memory,mid_ambiguity,6,291825,32535,0.6374567864121449,0.7926051051051051,0.1551483186929602,0.1303519286921776,0.6489933917319809,0.5186414630398033,0.2164438093293866,0.7136459653569919,0.4972021560276053,0.1213551950095859,0.5547819232790331,0.4334267282694471,0.0741355463347164,0.1698171200245889,0.0956815736898724,0.0082652274479568,0.0189325794568662,0.0106673520089094,0.0227979097061595,0.0912875867386276,0.0684896770324681,0.0190516098906586,0.7239565982819609,0.7049049883913023,r20,r20,r20,r19,0.4972021560276053,0.0106673520089094,46.60970741495554
moderate_signal__no_or_trace_memory,high_ambiguity,9,451584,74750,0.8421403012399101,0.8187968073240335,-0.0233434939158766,0.2707692307692307,0.7561739130434783,0.4854046822742475,0.4097829608033689,0.786240376122351,0.376457415318982,0.25768995722143,0.6477727225844898,0.3900827653630598,0.0507558528428093,0.1673444816053511,0.1165886287625418,0.0084015376984126,0.0277002728174603,0.0192987351190476,0.0532215490362811,0.152868569302721,0.0996470202664399,0.0393732422659702,0.8312674483528755,0.7918942060869053,r20,r19,r20,r19,0.376457415318982,0.0192987351190476,19.5068439976371
moderate_signal__no_or_trace_memory,low_ambiguity,4,175270,13622,0.5625,0.5804267938882084,0.0179267938882083,0.0865511672294817,0.660916165027162,0.5743649977976802,0.1500190863977605,0.6180619915559674,0.4680429051582069,0.0810922346791388,0.4472429210134128,0.3661506863342739,0.0673175745118191,0.4777565702540008,0.4104389957421817,0.0052319278826952,0.0371312831631197,0.0318993552804244,0.0119586923033034,0.0884977463342271,0.0765390540309237,0.0485101624804979,0.6036557143223693,0.5551455518418714,r20,r20,r20,r19,0.4680429051582069,0.0318993552804244,14.672487924714567
moderate_signal__no_or_trace_memory,mid_ambiguity,22,1088779,116351,0.8833215713949659,0.7822105746742399,-0.1011109967207259,0.0968191076999768,0.6438878909506579,0.5470687832506811,0.1745104721774693,0.706341012695225,0.5318305405177557,0.095596534254364,0.546002477953502,0.450405943699138,0.0127888887933924,0.1792764995573738,0.1664876107639814,0.001366668534202,0.0191581578998125,0.0177914893656104,0.0117131208445423,0.0879664284487485,0.0762533076042061,0.0063180993784051,0.6603998014009128,0.6540817020225077,r20,r19,r20,r19,0.5318305405177557,0.0177914893656104,29.89241257933941
no_or_trace_signal__high_memory,high_ambiguity,2,100352,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2037129304846938,0.2764369419642857,0.0727240114795918,0.2037129304846938,0.2764369419642857,0.0727240114795918,0.0,0.0,0.0,tie,tie,tie,r19,0.0,0.0727240114795918,0.0
no_or_trace_signal__high_memory,mid_ambiguity,1,50176,1,0.0,1.992984693877551e-05,1.992984693877551e-05,0.0,1.0,1.0,0.0,3.985889949578492e-05,3.985889949578492e-05,0.0,1.992984693877551e-05,1.992984693877551e-05,49394.0,50175.0,781.0,0.9844148596938777,0.9999800701530612,0.0155652104591836,0.9844148596938777,1.0,0.0155851403061224,0.0,3.985889949578492e-05,3.985889949578492e-05,r20,r20,r20,r19,3.985889949578492e-05,0.0155652104591836,0.002560768426505139
