figure,exists,bytes
fig01_r82_decision_framework.pdf,True,107373
fig02_r82_larkana_case.pdf,True,817281
fig03_r82_aggregation_event_composition.pdf,True,105239
fig04_r82_cost_ratio_controls.pdf,True,115233
fig05_r82_boundary_diagnostics.pdf,True,96626
