control_family,control_bin,f1_r19,f1_r20,flood_pixels_r19,flood_pixels_r20,fp_rate_r19,fp_rate_r20,n_grids_r19,n_grids_r20,precision_r19,precision_r20,recall_r19,recall_r20,valid_pixels_r19,valid_pixels_r20,r20_minus_r19_f1,r20_minus_r19_fp_rate,lambda_star,f1_winner,low_fp_winner
terrain_global_bin,intermediate,0.4946917697290146,0.41001315375093456,74070193,74070193,0.043307577295781725,0.23890349889895263,16378,16378,0.5044383173326449,0.2624926214917508,0.4853147203221139,0.9361004770164431,815441297,815441297,-0.08467861597808002,0.1955959216031709,-0.4329262864175551,r19,r19
terrain_global_bin,low_slope_low_relief,0.6735303843460636,0.6724778595350266,116080909,116080909,0.04647145891067115,0.1892966475236279,11168,11168,0.7356974030735897,0.5154908566428479,0.6210510722310074,0.9669524727791372,557319215,557319215,-0.0010525248110370145,0.14282518861295676,-0.0073693220450719,r19,r19
terrain_global_bin,steep_or_high_relief,0.28704942472175254,0.12486538313456678,11597435,11597435,0.011551973021016978,0.18811163505693623,15690,15690,0.2776181975200433,0.0670588554002829,0.29714398054397373,0.9049970963406995,776232076,776232076,-0.16218404158718575,0.17655966203591925,-0.9185792480401954,r19,r19
terrain_within_unit_bin,within_unit_high_roughness,0.3259430617806022,0.14474762953198014,20030117,20030117,0.025450773033369276,0.25339838020708344,16844,16844,0.2746581679585822,0.07870122288022369,0.4007772395937577,0.900196039793477,832982282,832982282,-0.18119543224862203,0.22794760717371415,-0.7948994705197179,r19,r19
terrain_within_unit_bin,within_unit_intermediate,0.566596779859362,0.48250524371254905,58254508,58254508,0.034438348182425964,0.17704682213295142,13091,13091,0.5866909254583553,0.3235097604394797,0.5478334998554961,0.9488243725275304,652831921,652831921,-0.08409153614681292,0.14260847395052545,-0.5896671762716319,r19,r19
terrain_within_unit_bin,within_unit_low_roughness,0.6459776138262274,0.6563728892618729,123463912,123463912,0.03995718286264713,0.1804500081829416,13301,13301,0.7297232571140476,0.498118289763682,0.5794749967099698,0.9620072705941798,663178385,663178385,0.010395275435645446,0.14049282532029447,0.07399150392161576,r20,r19
